pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,pdop,vdop,altitude_m,avg_cn0,min_cn0,max_cn0,cn0_std,sat_count_gsv,low_cn0_sat_count,low_elev_sat_count,speed_mps,course_deg,gst_rms_m,sigma_lat_m,sigma_lon_m,sigma_alt_m,true_label,source_file,distance_m,basic_decision,error_radius_m,proposed_decision,verification_result,valid_points,approval_ratio,mean_lat,mean_lon,mean_distance_m,stability_m,proposed_final_decision
2026-05-23 17:41:02.155,84101.0,36.62484116666667,127.45749183333334,2,12,0.62,1.09,0.89,74.2,34.43,13.0,45.0,8.05,83,8,12,0.0019444444444444,,,,,,inside,realtime_gnss.csv,3.0535372881296636,reject,1.0,verify,hold,0,0.0,,,,,reject
2026-05-23 17:41:03.161,84102.0,36.624841,127.45749150000002,2,12,0.62,1.09,0.89,74.2,34.39,14.0,45.0,8.05,83,8,12,0.0044444444444444,,,,,,inside,realtime_gnss.csv,3.0259373022850555,reject,1.0,verify,hold,0,0.0,,,,,reject
2026-05-23 17:41:04.149,84103.0,36.624841,127.45749150000002,2,12,0.62,1.09,0.89,74.2,34.25,12.0,45.0,8.27,83,8,12,0.0049999999999999,,,,,,inside,realtime_gnss.csv,3.0259373022850555,reject,1.0,verify,fail,3,0.0,36.62484105555556,127.45749161111111,3.035120216072681,0.015576661625817905,reject
2026-05-23 17:41:05.149,84104.0,36.624841,127.45749133333332,2,12,0.62,1.09,0.89,74.1,34.09,5.0,45.0,8.63,83,9,12,0.0227777777777777,,,,,,inside,realtime_gnss.csv,3.0209252913209754,reject,1.0,verify,fail,4,0.0,36.62484104166667,127.45749154166667,3.031557533606148,0.015137238453112954,reject
2026-05-23 17:41:06.178,84105.0,36.624841,127.45749116666666,2,12,0.59,0.99,0.79,74.1,34.09,8.0,45.0,8.44,83,10,12,0.0024999999999999,,,,,,inside,realtime_gnss.csv,3.0159783023764435,reject,1.0,verify,fail,5,0.0,36.62484103333334,127.45749146666667,3.0284179478969286,0.01698378455945685,reject
2026-05-23 17:41:07.154,84106.0,36.624841,127.457491,2,12,0.59,0.99,0.79,74.1,33.78,9.0,45.0,8.49,83,11,12,0.0033333333333333,,,,,,inside,realtime_gnss.csv,3.011096655121721,reject,1.0,verify,fail,6,0.0,36.624841027777784,127.4574913888889,3.025497828482212,0.020681264133529807,reject
2026-05-23 17:41:08.154,84107.0,36.624841,127.457491,2,12,0.59,0.99,0.79,74.1,33.69,7.0,45.0,8.8,83,12,12,0.0130555555555555,,,,,,inside,realtime_gnss.csv,3.011096655121721,reject,1.0,verify,fail,7,0.0,36.62484102380953,127.45749133333334,3.0234201352563286,0.0221516299593264,reject
2026-05-23 17:41:09.152,84108.0,36.624841,127.457491,2,12,0.59,0.99,0.79,74.0,33.42,9.0,45.0,8.58,83,11,12,0.0075,,,,,,inside,realtime_gnss.csv,3.011096655121721,reject,1.0,verify,fail,8,0.0,36.62484102083334,127.45749129166667,3.021866307942319,0.022828146657283877,reject
2026-05-23 17:41:10.154,84109.0,36.624841,127.457491,2,12,0.59,0.99,0.79,74.0,34.12,11.0,45.0,8.31,82,10,12,0.0016666666666666,,,,,,inside,realtime_gnss.csv,3.011096655121721,reject,1.0,verify,fail,9,0.0,36.624841018518524,127.45749125925926,3.0206604126054857,0.022814387683797236,reject
2026-05-23 17:41:11.170,84110.0,36.62484083333333,127.457491,2,12,0.59,0.99,0.79,74.0,34.12,9.0,45.0,8.28,82,11,12,0.0069444444444444,,,,,,inside,realtime_gnss.csv,2.9935827569383147,accept,1.0,verify,fail,10,0.1,36.624841,127.45749123333334,3.0179492756933257,0.023029568504056006,reject
2026-05-23 17:41:12.156,84111.0,36.624841,127.45749083333334,2,12,0.59,0.99,0.79,74.0,34.32,9.0,45.0,8.25,82,10,12,0.0038888888888888,,,,,,inside,realtime_gnss.csv,3.00628066637138,reject,1.0,verify,fail,10,0.1,36.624840983333335,127.45749113333336,3.0132470649476253,0.018249012233453522,reject
2026-05-23 17:41:13.189,84112.0,36.62484083333333,127.45749083333334,2,12,0.59,0.99,0.79,74.0,34.27,11.0,45.0,8.12,82,9,12,0.0036111111111111,,,,,,inside,realtime_gnss.csv,2.9887385467934244,accept,1.0,verify,fail,10,0.2,36.62484096666667,127.45749106666668,3.0095399604837683,0.016332050677090554,reject
