pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,pdop,vdop,altitude_m,avg_cn0,min_cn0,max_cn0,cn0_std,sat_count_gsv,low_cn0_sat_count,low_elev_sat_count,speed_mps,course_deg,gst_rms_m,sigma_lat_m,sigma_lon_m,sigma_alt_m
2026-05-23 17:41:02.155,084101.00,36.62484116666667,127.45749183333334,2,12,0.62,1.09,0.89,74.2,34.43,13.0,45.0,8.05,83,8,12,0.0019444444444444444,,,,,
2026-05-23 17:41:03.161,084102.00,36.624840999999996,127.45749150000002,2,12,0.62,1.09,0.89,74.2,34.39,14.0,45.0,8.05,83,8,12,0.0044444444444444444,,,,,
2026-05-23 17:41:04.149,084103.00,36.624840999999996,127.45749150000002,2,12,0.62,1.09,0.89,74.2,34.25,12.0,45.0,8.27,83,8,12,0.004999999999999999,,,,,
2026-05-23 17:41:05.149,084104.00,36.624840999999996,127.45749133333332,2,12,0.62,1.09,0.89,74.1,34.09,5.0,45.0,8.63,83,9,12,0.02277777777777778,,,,,
2026-05-23 17:41:06.178,084105.00,36.624840999999996,127.45749116666666,2,12,0.59,0.99,0.79,74.1,34.09,8.0,45.0,8.44,83,10,12,0.0024999999999999996,,,,,
2026-05-23 17:41:07.154,084106.00,36.624840999999996,127.45749099999999,2,12,0.59,0.99,0.79,74.1,33.78,9.0,45.0,8.49,83,11,12,0.003333333333333333,,,,,
2026-05-23 17:41:08.154,084107.00,36.624840999999996,127.45749099999999,2,12,0.59,0.99,0.79,74.1,33.69,7.0,45.0,8.8,83,12,12,0.013055555555555555,,,,,
2026-05-23 17:41:09.152,084108.00,36.624840999999996,127.45749099999999,2,12,0.59,0.99,0.79,74.0,33.42,9.0,45.0,8.58,83,11,12,0.0075,,,,,
2026-05-23 17:41:10.154,084109.00,36.624840999999996,127.45749099999999,2,12,0.59,0.99,0.79,74.0,34.12,11.0,45.0,8.31,82,10,12,0.0016666666666666666,,,,,
2026-05-23 17:41:11.170,084110.00,36.62484083333333,127.45749099999999,2,12,0.59,0.99,0.79,74.0,34.12,9.0,45.0,8.28,82,11,12,0.006944444444444445,,,,,
2026-05-23 17:41:12.156,084111.00,36.624840999999996,127.45749083333334,2,12,0.59,0.99,0.79,74.0,34.32,9.0,45.0,8.25,82,10,12,0.0038888888888888888,,,,,
