pc_time,time_utc,lat,lon,fix_quality,num_sat,hdop,altitude_m,avg_cn0
2026-05-23 11:24:33,022433.00,36.62484566666667,127.45748233333333,2,12,0.58,76.1,34.36
2026-05-23 11:24:34,022434.00,36.62484566666667,127.4574825,2,12,0.58,76.1,33.84
2026-05-23 11:24:35,022435.00,36.624846000000005,127.4574825,2,12,0.58,76.0,33.38
2026-05-23 11:24:36,022436.00,36.624846000000005,127.4574825,2,12,0.58,76.0,33.29
2026-05-23 11:24:37,022437.00,36.62484633333334,127.4574825,2,12,0.58,76.0,33.78
2026-05-23 11:24:38,022438.00,36.62484666666667,127.45748350000001,2,12,0.61,75.9,34.98
2026-05-23 11:24:39,022439.00,36.624846166666664,127.45748366666666,2,12,0.59,76.0,34.38
2026-05-23 11:24:40,022440.00,36.62484583333333,127.45748383333333,2,12,0.59,76.0,34.21
2026-05-23 11:24:41,022441.00,36.6248455,127.45748383333333,2,12,0.59,76.0,34.17
2026-05-23 11:24:42,022442.00,36.62484583333333,127.45748416666666,2,12,0.59,75.9,34.48
2026-05-23 11:24:43,022443.00,36.62484633333334,127.45748416666666,2,12,0.59,75.8,34.17
2026-05-23 11:24:44,022444.00,36.6248465,127.45748383333333,2,12,0.59,75.7,34.7
2026-05-23 11:24:45,022445.00,36.62484683333333,127.45748333333334,2,12,0.59,75.7,34.67
2026-05-23 11:24:46,022446.00,36.624847,127.45748299999998,2,12,0.58,75.7,34.75
2026-05-23 11:24:47,022447.00,36.624847333333335,127.45748283333333,2,12,0.58,75.6,34.82
2026-05-23 11:24:48,022448.00,36.62484766666667,127.4574825,2,12,0.58,75.5,34.63
2026-05-23 11:24:49,022449.00,36.624847833333334,127.45748233333333,2,12,0.58,75.4,34.6
2026-05-23 11:24:50,022450.00,36.624848,127.45748216666668,2,12,0.58,75.3,34.3
2026-05-23 11:24:51,022451.00,36.624848,127.45748183333332,2,12,0.58,75.3,34.42
2026-05-23 11:24:52,022452.00,36.624848166666666,127.45748166666665,2,12,0.58,75.4,34.58
2026-05-23 11:24:53,022453.00,36.62484833333333,127.45748133333333,2,12,0.58,75.4,34.12
2026-05-23 11:24:54,022454.00,36.62484866666667,127.45748116666667,2,12,0.6,75.4,34.16
2026-05-23 11:24:55,022455.00,36.62484883333333,127.457481,2,12,0.6,75.4,34.14
2026-05-23 11:24:56,022456.00,36.62484883333333,127.45748066666665,2,12,0.57,75.4,33.93
2026-05-23 11:24:57,022457.00,36.62484883333333,127.45748049999999,2,12,0.57,75.5,34.1
2026-05-23 11:24:58,022458.00,36.62484883333333,127.45748016666667,2,12,0.57,75.6,34.22
2026-05-23 11:24:59,022459.00,36.62484866666667,127.45748,2,12,0.57,75.6,34.17
2026-05-23 11:25:00,022500.00,36.62484866666667,127.45747983333334,2,12,0.57,75.6,34.24
2026-05-23 11:25:01,022501.00,36.62484866666667,127.45747966666667,2,12,0.56,75.7,34.38
2026-05-23 11:25:02,022502.00,36.62484866666667,127.45747950000002,2,12,0.56,75.7,34.41
2026-05-23 11:25:03,022503.00,36.62484866666667,127.45747933333332,2,12,0.56,75.7,34.4
2026-05-23 11:25:04,022504.00,36.62484866666667,127.45747916666666,2,12,0.56,75.7,34.26
2026-05-23 11:25:05,022505.00,36.6248485,127.45747899999999,2,12,0.56,75.8,34.45
2026-05-23 11:25:06,022506.00,36.6248485,127.45747899999999,2,12,0.56,75.8,34.38
2026-05-23 11:25:07,022507.00,36.6248485,127.45747883333334,2,12,0.56,75.9,34.16
2026-05-23 11:25:08,022508.00,36.62484833333333,127.45747883333334,2,12,0.56,75.9,34.31
2026-05-23 11:25:09,022509.00,36.62484833333333,127.45747883333334,2,12,0.56,75.9,34.21
2026-05-23 11:25:10,022510.00,36.62484833333333,127.45747866666667,2,12,0.56,76.0,34.4
2026-05-23 11:25:11,022511.00,36.62484833333333,127.45747850000001,2,12,0.56,76.0,34.38
2026-05-23 11:25:12,022512.00,36.624848166666666,127.45747833333334,2,12,0.56,76.0,34.41
2026-05-23 11:25:13,022513.00,36.624848,127.45747816666666,2,12,0.56,76.1,34.75
2026-05-23 11:25:14,022514.00,36.624848,127.457478,2,12,0.56,76.1,34.61
2026-05-23 11:25:15,022515.00,36.624847833333334,127.45747783333333,2,12,0.56,76.1,34.47
2026-05-23 11:25:16,022516.00,36.624848,127.45747766666666,2,12,0.59,76.1,34.63
2026-05-23 11:25:17,022517.00,36.624848,127.45747750000001,2,12,0.56,76.1,34.54
2026-05-23 11:25:18,022518.00,36.624848,127.45747733333334,2,12,0.56,76.1,34.56
2026-05-23 11:25:19,022519.00,36.624847833333334,127.45747733333334,2,12,0.56,76.1,34.42
2026-05-23 11:25:20,022520.00,36.624847833333334,127.45747716666668,2,12,0.56,76.1,34.46
2026-05-23 11:25:21,022521.00,36.624847833333334,127.45747699999998,2,12,0.56,76.1,34.39
2026-05-23 11:25:22,022522.00,36.62484766666667,127.45747699999998,2,12,0.56,76.1,34.46
2026-05-23 11:25:23,022523.00,36.62484766666667,127.45747683333333,2,12,0.56,76.1,34.47
2026-05-23 11:25:24,022524.00,36.6248475,127.45747666666666,2,12,0.56,76.1,34.6
2026-05-23 11:25:25,022525.00,36.6248475,127.45747666666666,2,12,0.56,76.1,34.44
2026-05-23 11:25:26,022526.00,36.624847333333335,127.4574765,2,12,0.56,76.1,34.58
2026-05-23 11:25:27,022527.00,36.624847333333335,127.4574765,2,12,0.56,76.1,34.54
2026-05-23 11:25:28,022528.00,36.62484716666667,127.4574765,2,12,0.56,76.1,34.54
2026-05-23 11:25:29,022529.00,36.624847,127.45747633333333,2,12,0.57,76.1,34.51
2026-05-23 11:25:30,022530.00,36.624847,127.45747633333333,2,12,0.56,76.1,34.37
2026-05-23 11:25:31,022531.00,36.62484683333333,127.45747633333333,2,12,0.56,76.1,34.4
2026-05-23 11:25:32,022532.00,36.62484683333333,127.45747633333333,2,12,0.56,76.1,34.3
2026-05-23 11:25:33,022533.00,36.62484683333333,127.4574765,2,12,0.56,76.1,33.68
